id;last;alert;text;forcing;priority
1c;0;0;11-22, 3+c, трефа лучше бубны или 3-3;НФ;2
1d;0;0;11-22, 3+d, бубна не хуже трефы;НФ;2
1h;0;0;11-22, 5+h;НФ;1
1s;0;0;11-22, 5+s;НФ;1
1nt;0;0;15-17, равномер;НФ;0
2c;0;1;5-10, 4+c либо одномастные 6=, либо двумастные с бубной или пикой, 7- потерь в плохой зональности, 8- в остальных случаях;НФ;0
2d;0;1;5-10, 4+d либо одномастные 6=, либо двумастные с червой или пикой, 7- потерь в плохой зональности, 8- в остальных случаях;НФ;0
2h;0;1;5-10, 4+h либо одномастные 6=, либо двумастные с трефой или пикой, 7- потерь в плохой зональности, 8- в остальных случаях;НФ;0
2s;0;1;16+, ФГ;ФГ;0
2nt;0;0;20-22, равномер;НФ;0
3c;0;0;4-10, 7+c, без мажорных четвёрок;НФ;0
3d;0;0;4-10, 7+d, без мажорных четвёрок;НФ;0
3h;0;0;4-10, 7+h;НФ;0
3s;0;0;4-10, 7+s;НФ;0
1c1h;0;0;6+ 4+h;Ф;0
2c2d;0;1;0-14, 2-c, 3+d пас-коррект или сайнофф в четвёртую масть, 9-потерь;НФ;2
2c2d2h;0;1;3-d, 3-4h, предложение сайноффа в четвёртую масть;НФ;0
2c2d2h2s;0;1;3-h, 3+s, продолжение пас-корректа;НФ;0
2c2d2h2s2nt;0;1;3-s, 6+c;НФ;0
2c2d2h2s2nt3c;1;0;контракт;К;0
2c2d2s;0;0;3-d, 4+s;НФ;0
2c2d2nt;0;1;3-d, 6+c;НФ;0
2c2h;0;0;5+h, 8-потерь, поиск червового контракта;НФ;1
2c2s;0;0;10+, 4+s, 8- потерь в плохой зональности, 7- в обычной;Ф;0
2c2nt;0;1;15+, сильный вопрос;Ф;1
2c3c;0;0;3+c, 8-потерь в плохой зональности, 7- в обычной;НФ;2
2c3d;0;0;15+, 4+d, 5-потерь, синглет или ренонс где-то, отсутствие интереса к пике;Ф;2
2d2h;0;1;0-14, 2-d, 3+h пас-коррект или сайнофф в четвёртую масть, 9-потерь;НФ;2
2d2s;0;0;10+, 4+s, 8- потерь в плохой зональности, 7- в обычной;Ф;0
2d2nt;0;1;15+, сильный вопрос;Ф;1
2c2d2s3h;1;0;7+h сайнофф в четвёртую масть;К;0
